"adm_0_name","adm_0_code","adm_1_name","adm_1_code","adm_2_name","adm_2_code","calendar_start_date","calendar_end_date","dengue_total","UUID","source_id","source_cat"
"Anguilla",9,NA,NA,NA,NA,2014-02-02,2014-02-08,NA,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW6","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2014-06-15,2014-06-21,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW25","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2014-06-22,2014-06-28,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW26","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2014-06-29,2014-07-05,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW27","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2014-07-06,2014-07-12,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW28","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2014-07-13,2014-07-19,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW29","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2014-07-20,2014-07-26,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW30","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2014-07-27,2014-08-02,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW31","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2014-08-03,2014-08-09,1,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW32","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2014-11-02,2014-11-08,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW45","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2014-11-09,2014-11-15,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW46","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2014-11-16,2014-11-22,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW47","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2014-11-23,2014-11-29,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW48","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2014-11-30,2014-12-06,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW49","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2014-12-07,2014-12-13,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW50","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2014-12-14,2014-12-20,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW51","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2014-12-21,2014-12-27,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW52","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2014-12-28,2015-01-03,1,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW53","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2015-01-25,2015-01-31,NA,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW4","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2016-01-24,2016-01-30,NA,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW4","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2017-01-01,2017-01-07,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW1","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2017-01-08,2017-01-14,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW2","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2017-01-15,2017-01-21,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW3","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2017-01-22,2017-01-28,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW4","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2017-01-29,2017-02-04,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW5","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2017-02-05,2017-02-11,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW6","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2017-02-12,2017-02-18,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW7","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2017-02-19,2017-02-25,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW8","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2017-02-26,2017-03-04,4,NA,NA,"paho-imputed"
"Anguilla",9,NA,NA,NA,NA,2017-03-05,2017-03-11,4,NA,NA,"paho-imputed"
"Anguilla",9,NA,NA,NA,NA,2017-03-19,2017-03-25,3,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW12","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2017-12-31,2018-01-06,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW1","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2018-01-07,2018-01-13,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW2","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2018-01-14,2018-01-20,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW3","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2018-01-21,2018-01-27,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW4","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2018-01-28,2018-02-03,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW5","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2018-02-04,2018-02-10,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW6","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2018-02-11,2018-02-17,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW7","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2018-02-18,2018-02-24,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW8","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2018-02-25,2018-03-03,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW9","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2018-03-04,2018-03-10,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW10","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2018-03-11,2018-03-17,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW11","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2018-03-18,2018-03-24,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW12","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2018-03-25,2018-03-31,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW13","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2018-04-01,2018-04-07,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW14","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2018-04-08,2018-04-14,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW15","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2018-04-15,2018-04-21,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW16","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2018-04-22,2018-04-28,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW17","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2018-04-29,2018-05-05,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW18","paho-adm0"
"Anguilla",9,NA,NA,NA,NA,2018-05-06,2018-05-12,0,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW19","paho-adm0"
