"adm_0_name","adm_0_code","year","epidemiological_week","calendar_start_date","calendar_end_date","cum_start_date","cum_end_date","cum_interval","dengue_total_cumulative","source_id"
"Anguilla",9,2014,1,2013-12-29,2014-01-04,2013-12-29,2014-01-04,1,NA,NA
"Anguilla",9,2014,2,2014-01-05,2014-01-11,2014-01-05,2014-01-11,1,NA,NA
"Anguilla",9,2014,3,2014-01-12,2014-01-18,2014-01-12,2014-01-18,1,NA,NA
"Anguilla",9,2014,4,2014-01-19,2014-01-25,2014-01-19,2014-01-25,1,NA,NA
"Anguilla",9,2014,5,2014-01-26,2014-02-01,2014-01-26,2014-02-01,1,NA,NA
"Anguilla",9,2014,6,2014-02-02,2014-02-08,2014-02-02,2014-02-08,1,"7","all_PAHO_countries_PAHO_2014_to_2022_EW6"
"Anguilla",9,2014,7,2014-02-09,2014-02-15,2014-02-09,2014-02-15,1,NA,NA
"Anguilla",9,2014,8,2014-02-16,2014-02-22,2014-02-16,2014-02-22,1,NA,NA
"Anguilla",9,2014,9,2014-02-23,2014-03-01,2014-02-23,2014-03-01,1,NA,NA
"Anguilla",9,2014,10,2014-03-02,2014-03-08,2014-03-02,2014-03-08,1,NA,NA
"Anguilla",9,2014,11,2014-03-09,2014-03-15,2014-03-09,2014-03-15,1,NA,NA
"Anguilla",9,2014,12,2014-03-16,2014-03-22,2014-03-16,2014-03-22,1,NA,NA
"Anguilla",9,2014,13,2014-03-23,2014-03-29,2014-03-23,2014-03-29,1,NA,NA
"Anguilla",9,2014,14,2014-03-30,2014-04-05,2014-03-30,2014-04-05,1,NA,NA
"Anguilla",9,2014,15,2014-04-06,2014-04-12,2014-04-06,2014-04-12,1,NA,NA
"Anguilla",9,2014,16,2014-04-13,2014-04-19,2014-04-13,2014-04-19,1,NA,NA
"Anguilla",9,2014,17,2014-04-20,2014-04-26,2014-04-20,2014-04-26,1,NA,NA
"Anguilla",9,2014,18,2014-04-27,2014-05-03,2014-04-27,2014-05-03,1,NA,NA
"Anguilla",9,2014,19,2014-05-04,2014-05-10,2014-05-04,2014-05-10,1,NA,NA
"Anguilla",9,2014,20,2014-05-11,2014-05-17,2014-05-11,2014-05-17,1,NA,NA
"Anguilla",9,2014,21,2014-05-18,2014-05-24,2014-05-18,2014-05-24,1,NA,NA
"Anguilla",9,2014,22,2014-05-25,2014-05-31,2014-05-25,2014-05-31,1,NA,NA
"Anguilla",9,2014,23,2014-06-01,2014-06-07,2014-06-01,2014-06-07,1,NA,NA
"Anguilla",9,2014,24,2014-06-08,2014-06-14,2014-02-09,2014-06-14,18,"74","all_PAHO_countries_PAHO_2014_to_2022_EW24"
"Anguilla",9,2014,25,2014-06-15,2014-06-21,2014-06-15,2014-06-21,1,"74","all_PAHO_countries_PAHO_2014_to_2022_EW25"
"Anguilla",9,2014,26,2014-06-22,2014-06-28,2014-06-22,2014-06-28,1,"74","all_PAHO_countries_PAHO_2014_to_2022_EW26"
"Anguilla",9,2014,27,2014-06-29,2014-07-05,2014-06-29,2014-07-05,1,"74","all_PAHO_countries_PAHO_2014_to_2022_EW27"
"Anguilla",9,2014,28,2014-07-06,2014-07-12,2014-07-06,2014-07-12,1,"74","all_PAHO_countries_PAHO_2014_to_2022_EW28"
"Anguilla",9,2014,29,2014-07-13,2014-07-19,2014-07-13,2014-07-19,1,"74","all_PAHO_countries_PAHO_2014_to_2022_EW29"
"Anguilla",9,2014,30,2014-07-20,2014-07-26,2014-07-20,2014-07-26,1,"74","all_PAHO_countries_PAHO_2014_to_2022_EW30"
"Anguilla",9,2014,31,2014-07-27,2014-08-02,2014-07-27,2014-08-02,1,"74","all_PAHO_countries_PAHO_2014_to_2022_EW31"
"Anguilla",9,2014,32,2014-08-03,2014-08-09,2014-08-03,2014-08-09,1,"75","all_PAHO_countries_PAHO_2014_to_2022_EW32"
"Anguilla",9,2014,33,2014-08-10,2014-08-16,2014-08-10,2014-08-16,1,NA,NA
"Anguilla",9,2014,34,2014-08-17,2014-08-23,2014-08-17,2014-08-23,1,NA,NA
"Anguilla",9,2014,35,2014-08-24,2014-08-30,2014-08-24,2014-08-30,1,NA,NA
"Anguilla",9,2014,36,2014-08-31,2014-09-06,2014-08-31,2014-09-06,1,NA,NA
"Anguilla",9,2014,37,2014-09-07,2014-09-13,2014-09-07,2014-09-13,1,NA,NA
"Anguilla",9,2014,38,2014-09-14,2014-09-20,2014-09-14,2014-09-20,1,NA,NA
"Anguilla",9,2014,39,2014-09-21,2014-09-27,2014-09-21,2014-09-27,1,NA,NA
"Anguilla",9,2014,40,2014-09-28,2014-10-04,2014-09-28,2014-10-04,1,NA,NA
"Anguilla",9,2014,41,2014-10-05,2014-10-11,2014-10-05,2014-10-11,1,NA,NA
"Anguilla",9,2014,42,2014-10-12,2014-10-18,2014-10-12,2014-10-18,1,NA,NA
"Anguilla",9,2014,43,2014-10-19,2014-10-25,2014-10-19,2014-10-25,1,NA,NA
"Anguilla",9,2014,44,2014-10-26,2014-11-01,2014-08-10,2014-11-01,12,"85","all_PAHO_countries_PAHO_2014_to_2022_EW44"
"Anguilla",9,2014,45,2014-11-02,2014-11-08,2014-11-02,2014-11-08,1,"85","all_PAHO_countries_PAHO_2014_to_2022_EW45"
"Anguilla",9,2014,46,2014-11-09,2014-11-15,2014-11-09,2014-11-15,1,"85","all_PAHO_countries_PAHO_2014_to_2022_EW46"
"Anguilla",9,2014,47,2014-11-16,2014-11-22,2014-11-16,2014-11-22,1,"85","all_PAHO_countries_PAHO_2014_to_2022_EW47"
"Anguilla",9,2014,48,2014-11-23,2014-11-29,2014-11-23,2014-11-29,1,"85","all_PAHO_countries_PAHO_2014_to_2022_EW48"
"Anguilla",9,2014,49,2014-11-30,2014-12-06,2014-11-30,2014-12-06,1,"85","all_PAHO_countries_PAHO_2014_to_2022_EW49"
"Anguilla",9,2014,50,2014-12-07,2014-12-13,2014-12-07,2014-12-13,1,"85","all_PAHO_countries_PAHO_2014_to_2022_EW50"
"Anguilla",9,2014,51,2014-12-14,2014-12-20,2014-12-14,2014-12-20,1,"85","all_PAHO_countries_PAHO_2014_to_2022_EW51"
"Anguilla",9,2014,52,2014-12-21,2014-12-27,2014-12-21,2014-12-27,1,"85","all_PAHO_countries_PAHO_2014_to_2022_EW52"
"Anguilla",9,2014,53,2014-12-28,2015-01-03,2014-12-28,2015-01-03,1,"86","all_PAHO_countries_PAHO_2014_to_2022_EW53"
"Anguilla",9,2015,1,2015-01-04,2015-01-10,2015-01-04,2015-01-10,1,NA,NA
"Anguilla",9,2015,2,2015-01-11,2015-01-17,2015-01-11,2015-01-17,1,NA,NA
"Anguilla",9,2015,3,2015-01-18,2015-01-24,2015-01-18,2015-01-24,1,NA,NA
"Anguilla",9,2015,4,2015-01-25,2015-01-31,2015-01-25,2015-01-31,1,"3","all_PAHO_countries_PAHO_2014_to_2022_EW4"
"Anguilla",9,2015,5,2015-02-01,2015-02-07,2015-02-01,2015-02-07,1,NA,NA
"Anguilla",9,2015,6,2015-02-08,2015-02-14,2015-02-08,2015-02-14,1,NA,NA
"Anguilla",9,2015,7,2015-02-15,2015-02-21,2015-02-15,2015-02-21,1,NA,NA
"Anguilla",9,2015,8,2015-02-22,2015-02-28,2015-02-22,2015-02-28,1,NA,NA
"Anguilla",9,2015,9,2015-03-01,2015-03-07,2015-03-01,2015-03-07,1,NA,NA
"Anguilla",9,2015,10,2015-03-08,2015-03-14,2015-03-08,2015-03-14,1,NA,NA
"Anguilla",9,2015,11,2015-03-15,2015-03-21,2015-03-15,2015-03-21,1,NA,NA
"Anguilla",9,2015,12,2015-03-22,2015-03-28,2015-03-22,2015-03-28,1,NA,NA
"Anguilla",9,2015,13,2015-03-29,2015-04-04,2015-03-29,2015-04-04,1,NA,NA
"Anguilla",9,2015,14,2015-04-05,2015-04-11,2015-04-05,2015-04-11,1,NA,NA
"Anguilla",9,2015,15,2015-04-12,2015-04-18,2015-04-12,2015-04-18,1,NA,NA
"Anguilla",9,2015,16,2015-04-19,2015-04-25,2015-04-19,2015-04-25,1,NA,NA
"Anguilla",9,2015,17,2015-04-26,2015-05-02,2015-04-26,2015-05-02,1,NA,NA
"Anguilla",9,2015,18,2015-05-03,2015-05-09,2015-05-03,2015-05-09,1,NA,NA
"Anguilla",9,2015,19,2015-05-10,2015-05-16,2015-05-10,2015-05-16,1,NA,NA
"Anguilla",9,2015,20,2015-05-17,2015-05-23,2015-02-01,2015-05-23,16,"8","all_PAHO_countries_PAHO_2014_to_2022_EW20"
"Anguilla",9,2015,21,2015-05-24,2015-05-30,2015-05-24,2015-05-30,1,NA,NA
"Anguilla",9,2015,22,2015-05-31,2015-06-06,2015-05-31,2015-06-06,1,NA,NA
"Anguilla",9,2015,23,2015-06-07,2015-06-13,2015-06-07,2015-06-13,1,NA,NA
"Anguilla",9,2015,24,2015-06-14,2015-06-20,2015-06-14,2015-06-20,1,NA,NA
"Anguilla",9,2015,25,2015-06-21,2015-06-27,2015-06-21,2015-06-27,1,NA,NA
"Anguilla",9,2015,26,2015-06-28,2015-07-04,2015-06-28,2015-07-04,1,NA,NA
"Anguilla",9,2015,27,2015-07-05,2015-07-11,2015-07-05,2015-07-11,1,NA,NA
"Anguilla",9,2015,28,2015-07-12,2015-07-18,2015-05-24,2015-07-18,8,"8","all_PAHO_countries_PAHO_2014_to_2022_EW28"
"Anguilla",9,2015,29,2015-07-19,2015-07-25,2015-07-19,2015-07-25,1,NA,NA
"Anguilla",9,2015,30,2015-07-26,2015-08-01,2015-07-26,2015-08-01,1,NA,NA
"Anguilla",9,2015,31,2015-08-02,2015-08-08,2015-08-02,2015-08-08,1,NA,NA
"Anguilla",9,2015,32,2015-08-09,2015-08-15,2015-08-09,2015-08-15,1,NA,NA
"Anguilla",9,2015,33,2015-08-16,2015-08-22,2015-08-16,2015-08-22,1,NA,NA
"Anguilla",9,2015,34,2015-08-23,2015-08-29,2015-08-23,2015-08-29,1,NA,NA
"Anguilla",9,2015,35,2015-08-30,2015-09-05,2015-08-30,2015-09-05,1,NA,NA
"Anguilla",9,2015,36,2015-09-06,2015-09-12,2015-09-06,2015-09-12,1,NA,NA
"Anguilla",9,2015,37,2015-09-13,2015-09-19,2015-09-13,2015-09-19,1,NA,NA
"Anguilla",9,2015,38,2015-09-20,2015-09-26,2015-09-20,2015-09-26,1,NA,NA
"Anguilla",9,2015,39,2015-09-27,2015-10-03,2015-09-27,2015-10-03,1,NA,NA
"Anguilla",9,2015,40,2015-10-04,2015-10-10,2015-10-04,2015-10-10,1,NA,NA
"Anguilla",9,2015,41,2015-10-11,2015-10-17,2015-10-11,2015-10-17,1,NA,NA
"Anguilla",9,2015,42,2015-10-18,2015-10-24,2015-10-18,2015-10-24,1,NA,NA
"Anguilla",9,2015,43,2015-10-25,2015-10-31,2015-10-25,2015-10-31,1,NA,NA
"Anguilla",9,2015,44,2015-11-01,2015-11-07,2015-11-01,2015-11-07,1,NA,NA
"Anguilla",9,2015,45,2015-11-08,2015-11-14,2015-11-08,2015-11-14,1,NA,NA
"Anguilla",9,2015,46,2015-11-15,2015-11-21,2015-11-15,2015-11-21,1,NA,NA
"Anguilla",9,2015,47,2015-11-22,2015-11-28,2015-11-22,2015-11-28,1,NA,NA
"Anguilla",9,2015,48,2015-11-29,2015-12-05,2015-11-29,2015-12-05,1,NA,NA
"Anguilla",9,2015,49,2015-12-06,2015-12-12,2015-12-06,2015-12-12,1,NA,NA
"Anguilla",9,2015,50,2015-12-13,2015-12-19,2015-12-13,2015-12-19,1,NA,NA
"Anguilla",9,2015,51,2015-12-20,2015-12-26,2015-12-20,2015-12-26,1,NA,NA
"Anguilla",9,2015,52,2015-12-27,2016-01-02,2015-07-19,2016-01-02,24,"8","all_PAHO_countries_PAHO_2014_to_2022_EW52"
