UUID,source_cat,country,period,case_definition_original,metadata_description,metadata_url,metadata_steps
WHOWPRO-ALL-2014-W01-15,WHOWPRO,ALL,20142023,Number of cases,WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2015-W01-03,WHOWPRO,ALL,20142023,Number of cases,WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2015-W01-07,WHOWPRO,ALL,20142023,Number of reported dengue cases,WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2015-W01-21,WHOWPRO,ALL,20142023,Number of dengue cases per reporting week from sentinel hospital sites,WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2016-W01-03,WHOWPRO,ALL,20142023,Number of dengue cases,WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2016-W01-05,WHOWPRO,ALL,20142023,Number of dengue cases,WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2016-W01-51,WHOWPRO,ALL,20142023,Number of dengue cases per reporting week from sentinel hospital sites,WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2017-W01-01,WHOWPRO,ALL,20142023,Number of dengue cases,WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2017-W01-03,WHOWPRO,ALL,20142023,Number of dengue cases,WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2017-W01-51,WHOWPRO,ALL,20142023,Number of lab confirmed cases for dengue,WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2018-W01-03,WHOWPRO,ALL,20142023,"Cambodia: Total number of reported dengue cases, including DHF and DSS; Philippines: number of dengue cases; Viet Nam: number of dengue admitted cases",WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2018-W01-51,WHOWPRO,ALL,20142023,Suspected + confirmed dengue cases,WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2019-W01-01,WHOWPRO,ALL,20142023,"Cambodia: DF, DHF and DSS cases reported; Malaysia: dengue cases reported; New caledonia: syndromic and confirmed dengue cases reported",WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2019-W01-03,WHOWPRO,ALL,20142023,Dengue cases,WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2020-W01-03,WHOWPRO,ALL,20142023,Dengue cases,WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2020-W01-05,WHOWPRO,ALL,20142023,Number of dengue admission cases,WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2020-W01-51,WHOWPRO,ALL,20142023,Dengue cases,WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2021-W01-03,WHOWPRO,ALL,20142023,Dengue cases,WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2021-W01-53,WHOWPRO,ALL,20142023,"New caledonia: total cases (confirmed, probable, suspected); Wallis and Futuna: confirmed local cases",WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2022-W01-03,WHOWPRO,ALL,20142023,Dengue cases,WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2022-W01-05,WHOWPRO,ALL,20142023,Dengue cases,WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2022-W01-29,WHOWPRO,ALL,20142023,Dengue cases,WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-ALL-2023-W01-01,WHOWPRO,ALL,20142023,Dengue cases,WHO WPRO weekly dengue situational reports,https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2,
WHOWPRO-PICs-2017-Y01-00,WHOWPRO,PICs,20172023,Dengue-like illness,Pacific Syndromic Surveillance System,"go to https://reliefweb.int/updates > ""Pacific Syndromic Surveillance System Weekly Bulletin"" > advanced search (posting date)",
WHOWPRO-PICs-2018-Y01-01,WHOWPRO,PICs,20172023,Dengue-like illness,Pacific Syndromic Surveillance System,"go to https://reliefweb.int/updates > ""Pacific Syndromic Surveillance System Weekly Bulletin"" > advanced search (posting date)",
WHOWPRO-PICs-2019-Y01-02,WHOWPRO,PICs,20172023,Dengue-like illness,Pacific Syndromic Surveillance System,"go to https://reliefweb.int/updates > ""Pacific Syndromic Surveillance System Weekly Bulletin"" > advanced search (posting date)",
WHOWPRO-PICs-2020-Y01-03,WHOWPRO,PICs,20172023,Dengue-like illness,Pacific Syndromic Surveillance System,"go to https://reliefweb.int/updates > ""Pacific Syndromic Surveillance System Weekly Bulletin"" > advanced search (posting date)",
WHOWPRO-PICs-2021-Y01-04,WHOWPRO,PICs,20172023,Dengue-like illness,Pacific Syndromic Surveillance System,"go to https://reliefweb.int/updates > ""Pacific Syndromic Surveillance System Weekly Bulletin"" > advanced search (posting date)",
WHOWPRO-PICs-2022-Y01-05,WHOWPRO,PICs,20172023,Dengue-like illness,Pacific Syndromic Surveillance System,"go to https://reliefweb.int/updates > ""Pacific Syndromic Surveillance System Weekly Bulletin"" > advanced search (posting date)",
WHOWPRO-PICs-2023-Y01-06,WHOWPRO,PICs,20172023,Dengue-like illness,Pacific Syndromic Surveillance System,"go to https://reliefweb.int/updates > ""Pacific Syndromic Surveillance System Weekly Bulletin"" > advanced search (posting date)",
WHOSEARO-ALL-19852009-Y01-00,WHOSEARO,ALL,19852009,Reported number of dengue cases,Comprehensive Guideline for Prevention and Control of Dengue and Dengue Haemorrhagic Fever (WHO SEARO),https://apps.who.int/iris/handle/10665/204894,p. 6
WHOPAHO-ALL-2013-Y02-00,WHOPAHO,ALL,2013,Number of reported cases,PAHO PLISA system (annual count),https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html,paho>national>annual tab>select year 2013
WHOPAHO-ALL-20142022-W01-01,WHOPAHO,ALL,20142022,"Suspected + probable + confirmed, non-severe & severe",PAHO PLISA system weekly (converted cumulative to incident),https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html,"countries=all, year=all, select all rows, download=data, download all rows as text file in pop-up"
WHOPAHO-ALL-20142022-W01-02,WHOPAHO,ALL,20142022,"Suspected + probable + confirmed, non-severe & severe",PAHO PLISA system weekly (converted cumulative to incident),https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html,"countries=all, year=all, select all rows, download=data, download all rows as text file in pop-up"
WHOPAHO-ALL-20142022-W01-03,WHOPAHO,ALL,20142022,"Suspected + probable + confirmed, non-severe & severe",PAHO PLISA system weekly (converted cumulative to incident),https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html,"countries=all, year=all, select all rows, download=data, download all rows as text file in pop-up"
WHOPAHO-ALL-20142022-W01-04,WHOPAHO,ALL,20142022,"Suspected + probable + confirmed, non-severe & severe",PAHO PLISA system weekly (converted cumulative to incident),https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html,"countries=all, year=all, select all rows, download=data, download all rows as text file in pop-up"
WHOPAHO-ALL-20142022-W01-05,WHOPAHO,ALL,20142022,"Suspected + probable + confirmed, non-severe & severe",PAHO PLISA system weekly (converted cumulative to incident),https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html,"countries=all, year=all, select all rows, download=data, download all rows as text file in pop-up"
WHOPAHO-ALL-20142022-W01-06,WHOPAHO,ALL,20142022,"Suspected + probable + confirmed, non-severe & severe",PAHO PLISA system weekly (converted cumulative to incident),https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html,"countries=all, year=all, select all rows, download=data, download all rows as text file in pop-up"
WHOPAHO-ALL-20142022-W01-07,WHOPAHO,ALL,20142022,"Suspected + probable + confirmed, non-severe & severe",PAHO PLISA system weekly (converted cumulative to incident),https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html,"countries=all, year=all, select all rows, download=data, download all rows as text file in pop-up"
