"UUID","source_cat","country","period","case_definition_original","metadata_description","metadata_url","metadata_steps"
"WHOWPRO-ALL-2014-W01-15","WHOWPRO","ALL","20142025","Number of cases","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2015-W01-03","WHOWPRO","ALL","20142025","Number of cases","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2015-W01-07","WHOWPRO","ALL","20142025","Number of reported dengue cases","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2015-W01-21","WHOWPRO","ALL","20142025","Number of dengue cases per reporting week from sentinel hospital sites","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2016-W01-03","WHOWPRO","ALL","20142025","Number of dengue cases","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2016-W01-05","WHOWPRO","ALL","20142025","Number of dengue cases","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2016-W01-51","WHOWPRO","ALL","20142025","Number of dengue cases per reporting week from sentinel hospital sites","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2017-W01-01","WHOWPRO","ALL","20142025","Number of dengue cases","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2017-W01-03","WHOWPRO","ALL","20142025","Number of dengue cases","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2017-W01-51","WHOWPRO","ALL","20142025","Number of lab confirmed cases for dengue","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2018-W01-03","WHOWPRO","ALL","20142025","Cambodia: Total number of reported dengue cases, including DHF and DSS; Philippines: number of dengue cases; Viet Nam: number of dengue admitted cases","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2018-W01-51","WHOWPRO","ALL","20142025","Suspected + confirmed dengue cases","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
