"","Country","Year","Tipo","Total"
"1","Antigua and Barbuda","2015","Preliminar","14"
"2","Antigua and Barbuda","2016","Preliminar","103"
"3","Antigua and Barbuda","2017","Preliminar","1"
"4","Antigua and Barbuda","2018","Preliminar","8"
"5","Antigua and Barbuda","2019","Preliminar","1223"
"6","Antigua and Barbuda","2020","Preliminar","407"
"7","Antigua and Barbuda","2021","Preliminar","46"
"8","Antigua and Barbuda","2022","Preliminar","4"
"9","Argentina","1980","Final","0"
"10","Argentina","1981","Final","0"
"11","Argentina","1982","Final","0"
"12","Argentina","1983","Final","0"
"13","Argentina","1984","Final","0"
"14","Argentina","1985","Final","0"
"15","Argentina","1986","Final","0"
"16","Argentina","1987","Final","0"
"17","Argentina","1988","Final","0"
"18","Argentina","1989","Final","0"
"19","Argentina","1990","Final","0"
"20","Argentina","1991","Final","0"
"21","Argentina","1992","Final","0"
"22","Argentina","1993","Final","0"
"23","Argentina","1994","Final","0"
"24","Argentina","1995","Final","0"
"25","Argentina","1996","Final","0"
"26","Argentina","1997","Final","0"
"27","Argentina","1998","Final","822"
"28","Argentina","1999","Final","3"
"29","Argentina","2000","Final","1700"
"30","Argentina","2001","Final","11"
"31","Argentina","2002","Final","214"
"32","Argentina","2003","Final","135"
"33","Argentina","2004","Final","3284"
"34","Argentina","2005","Final","34"
"35","Argentina","2006","Final","181"
"36","Argentina","2007","Final","173"
"37","Argentina","2008","Final","40"
"38","Argentina","2009","Final","26606"
"39","Argentina","2010","Final","1185"
"40","Guatemala","1992","Final","1286"
"41","Guatemala","1993","Final","1907"
"42","Guatemala","1994","Final","2872"
"43","Guatemala","1995","Final","3979"
"44","Guatemala","1996","Final","3660"
"45","Guatemala","1997","Final","5379"
"46","Guatemala","1998","Final","4653"
"47","Guatemala","1999","Final","3615"
"48","Guatemala","2000","Final","8964"
"49","Guatemala","2001","Final","4512"
"50","Guatemala","2002","Final","7552"
"51","Guatemala","2003","Final","6728"
"52","Guatemala","2004","Final","6313"
"53","Guatemala","2005","Final","6309"
"54","Guatemala","2006","Final","2422"
"55","Guatemala","2007","Final","5865"
"56","Guatemala","2008","Final","3227"
"57","Guatemala","2009","Final","10200"
"58","Guatemala","2010","Final","16842"
"59","Guatemala","2011","Final","2553"
"60","Guatemala","2012","Final","9331"
"61","Guatemala","2013","Final","11703"
"62","Guatemala","2014","Preliminar","19797"
"63","Guatemala","2015","Preliminar","18058"
"64","Guatemala","2016","Preliminar","8844"
"65","Guatemala","2017","Preliminar","4214"
"66","Guatemala","2018","Final","6830"
"67","Guatemala","2019","Preliminar","50432"
"68","Guatemala","2020","Preliminar","5983"
"69","Guatemala","2021","Preliminar","2861"
"70","Guatemala","2022","Preliminar","8407"
"71","Guatemala","2023","Preliminar","862"
"72","Guyana","1980","Final","0"
"73","Guyana","1981","Final","0"
"74","Guyana","1982","Final","0"
"75","Guyana","1983","Final","0"
"76","Guyana","1984","Final","0"
"77","Guyana","1985","Final","0"
"78","Guyana","1986","Final","0"
"79","Guyana","1987","Final","0"
"80","Guyana","1988","Final","0"
"81","Saint Vincent and the Grenadines","1993","Final","7"
"82","Saint Vincent and the Grenadines","1994","Final","0"
"83","Saint Vincent and the Grenadines","1995","Final","224"
"84","Saint Vincent and the Grenadines","1996","Final","190"
"85","Saint Vincent and the Grenadines","1997","Final","3"
"86","Saint Vincent and the Grenadines","1998","Final","88"
"87","Saint Vincent and the Grenadines","1999","Final","8"
"88","Saint Vincent and the Grenadines","2000","Final","5"
"89","Saint Vincent and the Grenadines","2001","Final","3"
"90","Saint Vincent and the Grenadines","2002","Final","123"
"91","Saint Vincent and the Grenadines","2003","Final","3"
"92","Saint Vincent and the Grenadines","2004","Final","4"
"93","Saint Vincent and the Grenadines","2005","Final","8"
"94","Saint Vincent and the Grenadines","2006","Final","5"
"95","Saint Vincent and the Grenadines","2007","Final","2"
"96","Saint Vincent and the Grenadines","2008","Final","6"
"97","Saint Vincent and the Grenadines","2009","Final","10"
"98","Saint Vincent and the Grenadines","2010","Final","217"
"99","Saint Vincent and the Grenadines","2011","Final","47"
"100","Saint Vincent and the Grenadines","2012","Final","91"
"101","Saint Vincent and the Grenadines","2013","Final","127"
"102","Saint Vincent and the Grenadines","2014","Preliminar","117"
"103","Saint Vincent and the Grenadines","2015","Preliminar","13"
"104","Saint Vincent and the Grenadines","2016","Preliminar","89"
"105","Saint Vincent and the Grenadines","2017","Preliminar","3"
"106","Saint Vincent and the Grenadines","2018","Preliminar","4"
"107","Saint Vincent and the Grenadines","2019","Preliminar","11"
"108","Saint Vincent and the Grenadines","2020","IBS20-21","1603"
"109","Argentina","2011","Final","213"
"110","Argentina","2012","Final","2803"
"111","Argentina","2013","Final","9294"
"112","Argentina","2014","Final","3270"
"113","Argentina","2015","Preliminar","4774"
"114","Argentina","2016","Final","79455"
"115","Argentina","2017","Preliminar","557"
"116","Argentina","2018","Preliminar","1829"
"117","Argentina","2019","Preliminar","3220"
"118","Argentina","2020","Preliminar","59358"
"119","Argentina","2021","Preliminar","3972"
"120","Argentina","2022","Preliminar","750"
"121","Argentina","2023","Preliminar","8504"
"122","Bahamas","1980","Final","0"
"123","Bahamas","1981","Final","0"
"124","Bahamas","1982","Final","0"
"125","Bahamas","1983","Final","0"
"126","Bahamas","1984","Final","0"
"127","Bahamas","1985","Final","0"
"128","Bahamas","1986","Final","0"
"129","Bahamas","1987","Final","0"
"130","Bahamas","1988","Final","0"
"131","Bahamas","1989","Final","87"
"132","Bahamas","1990","Final","2"
"133","Bahamas","1991","Final","0"
"134","Bahamas","1992","Final","0"
"135","Bahamas","1993","Final","0"
"136","Bahamas","1994","Final","0"
"137","Bahamas","1995","Final","1"
"138","Bahamas","1996","Final","0"
"139","Bahamas","1997","Final","0"
"140","Bahamas","1998","Final","336"
"141","Bahamas","1999","Final","0"
"142","Bahamas","2000","Final","0"
