"","adm_0_name","adm_1_name","adm_2_name","full_name","ISO_A0","FAO_GAUL_code","RNE_iso_code","calendar_start_date","calendar_end_date","Year","dengue_total","UUID","source_cat","S_res","T_res"
"83879","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","1955-01-01","1955-12-31",1955,0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
"83880","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","1979-01-01","1979-12-31",1979,0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
"83881","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","1980-01-01","1980-12-31",1980,1,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
"83882","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","1981-01-01","1981-12-31",1981,1,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
"83883","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","1982-01-01","1982-12-31",1982,0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
"83871","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","1983-01-01","1983-12-31",1983,0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
"83884","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","1984-01-01","1984-12-31",1984,0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
"83885","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","1988-01-01","1988-12-31",1988,4,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
"83872","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","1992-01-01","1992-12-31",1992,0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
"83886","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","1993-01-01","1993-12-31",1993,0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
"83873","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","1994-01-01","1994-12-31",1994,246,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
"83887","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","1995-01-01","1995-12-31",1995,0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
"83888","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","1996-01-01","1996-12-31",1996,49,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
"83889","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","1998-01-01","1998-12-31",1998,205,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
"83874","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","1999-01-01","1999-12-31",1999,1,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
"83890","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","2000-01-01","2000-12-31",2000,0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
"83875","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","2001-01-01","2001-12-31",2001,500,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
"83891","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","2002-01-01","2002-12-31",2002,1185,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
"83876","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","2003-01-01","2003-12-31",2003,0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
"83870","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","2004-01-01","2004-12-31",2004,0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
"83877","AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM","2005-01-01","2005-12-31",2005,0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","ASIA_TYCHO","Admin0","Year"
