"adm_0_name","adm_0_code","year","epidemiological_week","calendar_start_date","calendar_end_date","dengue_na_spline2","dengue_na_spline_inc","source_id","source_cat"
"Anguilla",9,2014,1,2013-12-29,2014-01-04,NA,NA,NA,"NA"
"Anguilla",9,2014,2,2014-01-05,2014-01-11,NA,NA,NA,"NA"
"Anguilla",9,2014,3,2014-01-12,2014-01-18,NA,NA,NA,"NA"
"Anguilla",9,2014,4,2014-01-19,2014-01-25,NA,NA,NA,"NA"
"Anguilla",9,2014,5,2014-01-26,2014-02-01,NA,NA,NA,"NA"
"Anguilla",9,2014,6,2014-02-02,2014-02-08,6,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW6","Raw"
"Anguilla",9,2014,7,2014-02-09,2014-02-15,NA,NA,NA,"NA"
"Anguilla",9,2014,8,2014-02-16,2014-02-22,NA,NA,NA,"NA"
"Anguilla",9,2014,9,2014-02-23,2014-03-01,NA,NA,NA,"NA"
"Anguilla",9,2014,10,2014-03-02,2014-03-08,NA,NA,NA,"NA"
"Anguilla",9,2014,11,2014-03-09,2014-03-15,NA,NA,NA,"NA"
"Anguilla",9,2014,12,2014-03-16,2014-03-22,NA,NA,NA,"NA"
"Anguilla",9,2014,13,2014-03-23,2014-03-29,NA,NA,NA,"NA"
"Anguilla",9,2014,14,2014-03-30,2014-04-05,NA,NA,NA,"NA"
"Anguilla",9,2014,15,2014-04-06,2014-04-12,NA,NA,NA,"NA"
"Anguilla",9,2014,16,2014-04-13,2014-04-19,NA,NA,NA,"NA"
"Anguilla",9,2014,17,2014-04-20,2014-04-26,NA,NA,NA,"NA"
"Anguilla",9,2014,18,2014-04-27,2014-05-03,NA,NA,NA,"NA"
"Anguilla",9,2014,19,2014-05-04,2014-05-10,NA,NA,NA,"NA"
"Anguilla",9,2014,20,2014-05-11,2014-05-17,NA,NA,NA,"NA"
"Anguilla",9,2014,21,2014-05-18,2014-05-24,NA,NA,NA,"NA"
"Anguilla",9,2014,22,2014-05-25,2014-05-31,NA,NA,NA,"NA"
"Anguilla",9,2014,23,2014-06-01,2014-06-07,NA,NA,NA,"NA"
"Anguilla",9,2014,24,2014-06-08,2014-06-14,74,NA,"all_PAHO_countries_PAHO_2014_to_2022_EW24","Raw"
"Anguilla",9,2014,25,2014-06-15,2014-06-21,74,0,"all_PAHO_countries_PAHO_2014_to_2022_EW25","Raw"
"Anguilla",9,2014,26,2014-06-22,2014-06-28,74,0,"all_PAHO_countries_PAHO_2014_to_2022_EW26","Raw"
"Anguilla",9,2014,27,2014-06-29,2014-07-05,74,0,"all_PAHO_countries_PAHO_2014_to_2022_EW27","Raw"
"Anguilla",9,2014,28,2014-07-06,2014-07-12,74,0,"all_PAHO_countries_PAHO_2014_to_2022_EW28","Raw"
"Anguilla",9,2014,29,2014-07-13,2014-07-19,74,0,"all_PAHO_countries_PAHO_2014_to_2022_EW29","Raw"
