"adm_0_name","adm_0_code","adm_1_name","adm_1_code","adm_2_name","adm_2_code","calendar_start_date","calendar_end_date","dengue_total","UUID","source_cat"
"Anguilla",9,NA,NA,NA,NA,"1980-01-01","1980-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"1981-01-01","1981-12-31",1,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"1982-01-01","1982-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"1983-01-01","1983-12-31",2,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"1984-01-01","1984-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"1985-01-01","1985-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"1986-01-01","1986-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"1987-01-01","1987-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"1988-01-01","1988-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"1989-01-01","1989-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"1990-01-01","1990-12-31",12,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"1991-01-01","1991-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"1992-01-01","1992-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"1995-01-01","1995-12-31",4,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"1996-01-01","1996-12-31",1,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"1997-01-01","1997-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"1998-01-01","1998-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"1999-01-01","1999-12-31",12,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"2000-01-01","2000-12-31",3,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"2001-01-01","2001-12-31",25,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"2002-01-01","2002-12-31",5,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"2003-01-01","2003-12-31",2,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"2004-01-01","2004-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"2005-01-01","2005-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"2006-01-01","2006-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"2007-01-01","2007-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"2008-01-01","2008-12-31",9,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"2009-01-01","2009-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"2010-01-01","2010-12-31",1,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"2011-01-01","2011-12-31",9,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Anguilla",9,NA,NA,NA,NA,"2012-01-01","2012-12-31",7,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1960-01-01","1960-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1961-01-01","1961-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1962-01-01","1962-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1963-01-01","1963-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1964-01-01","1964-12-31",264,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1965-01-01","1965-12-31",8,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1966-01-01","1966-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1967-01-01","1967-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1968-01-01","1968-12-31",179,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1977-01-01","1977-12-31",2,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1980-01-01","1980-12-31",1,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1981-01-01","1981-12-31",77,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1982-01-01","1982-12-31",5,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1983-01-01","1983-12-31",1,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1984-01-01","1984-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1985-01-01","1985-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1986-01-01","1986-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1987-01-01","1987-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1988-01-01","1988-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1989-01-01","1989-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1990-01-01","1990-12-31",1,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1991-01-01","1991-12-31",1,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1992-01-01","1992-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1995-01-01","1995-12-31",56,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1996-01-01","1996-12-31",12,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1997-01-01","1997-12-31",9,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1998-01-01","1998-12-31",4,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"1999-01-01","1999-12-31",2,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"2000-01-01","2000-12-31",8,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"2001-01-01","2001-12-31",20,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"2002-01-01","2002-12-31",5,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"2003-01-01","2003-12-31",1,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"2004-01-01","2004-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"2005-01-01","2005-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"2006-01-01","2006-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"2007-01-01","2007-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"2008-01-01","2008-12-31",17,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"2009-01-01","2009-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"2010-01-01","2010-12-31",3,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"2011-01-01","2011-12-31",7,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Antigua And Barbuda",11,NA,NA,NA,NA,"2012-01-01","2012-12-31",10,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"1998-01-01","1998-01-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"1998-02-01","1998-02-28",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"1998-03-01","1998-03-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"1998-11-01","1998-11-30",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"1998-12-01","1998-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"1999-01-01","1999-01-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"1999-02-01","1999-02-28",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"1999-03-01","1999-03-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"1999-04-01","1999-04-30",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"1999-05-01","1999-05-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"1999-06-01","1999-06-30",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"1999-07-01","1999-07-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"1999-08-01","1999-08-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"1999-09-01","1999-09-30",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"1999-10-01","1999-10-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"1999-11-01","1999-11-30",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"1999-12-01","1999-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"2004-01-01","2004-01-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"2004-02-01","2004-02-29",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"2004-03-01","2004-03-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"2004-04-01","2004-04-30",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"2004-05-01","2004-05-31",1,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"2004-06-01","2004-06-30",10,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"2004-07-01","2004-07-31",40,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"2004-08-01","2004-08-31",100,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"2004-09-01","2004-09-30",160,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Corrientes",435,NA,NA,"2004-10-01","2004-10-31",50,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Formosa",437,NA,NA,"1999-06-01","1999-06-30",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Formosa",437,NA,NA,"1999-07-01","1999-07-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Formosa",437,NA,NA,"1999-08-01","1999-08-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Formosa",437,NA,NA,"1999-09-01","1999-09-30",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Formosa",437,NA,NA,"1999-10-01","1999-10-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Formosa",437,NA,NA,"1999-11-01","1999-11-30",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Formosa",437,NA,NA,"1999-12-01","1999-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Formosa",437,NA,NA,"2004-01-01","2004-01-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Formosa",437,NA,NA,"2004-02-01","2004-02-29",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Formosa",437,NA,NA,"2004-03-01","2004-03-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Formosa",437,NA,NA,"2004-04-01","2004-04-30",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,"Formosa",437,NA,NA,"2004-05-01","2004-05-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
